number,area,class,lower_altitude,upper_altitude,control_lat_dd,control_lon_dd,route_true_deg,primary_boom,secondary_mprs,tacan,safety_altitude_ft
1,Barney,HA,FL200,FL250,30.0183333333,65.3316666667,210,Gray 2,Purple 4,41X,5300
2,Bart,HA,FL200,FL250,30.355,63.8166666667,245,Maroon 10,Cherry 9,46X,5100
3,Carl,HA,FL200,FL250,31.2083333333,63.0483333333,215,Carmine 14,Coral 5,45X,4300
4,Clancy,HA,FL200,FL250,31.8016666667,66.7716666667,225,Turquoise 5,Peach 13,60X,10800
5,Homer,HA,FL180,FL280,32.9383333333,68.2233333333,320,Green 7,Lemon 17,54X,10900
6,Krusty,HA,FL180,FL280,33.2266666667,68.635,210,Aqua 4,Tan 7,42X;43X,11600
7,Lenny,HA,FL180,FL280,32.6133333333,65.1366666667,245,White 16,Khaki 14,56X;57X,9500
8,Lisa,HA,FL180,FL280,33.7483333333,61.8816666667,5,Teal 5,Zinc 8,50X;51X,6500
9,Maggie,HA,FL200,FL250,34.045,63.44,265,Brass 2,Crimson 16,40X,12300
10,Marge,HA,FL150,FL200,34.9316666667,62.0566666667,40,Iron 6,Salmon 13,44X,6500
11,Milhouse,HA,FL180,FL280,33.3816666667,65.4983333333,65,Brass 15,Green 9,58X;59X,11600
12,Moe,HA,FL230,FL280,35.3716666667,65.685,245,Lemon 10,Peach 4,52X,14700
13,Montgomery,HA,FL200,FL250,37.1333333333,65.51,330,Cherry 2,Coral 15,53X,3300
14,Ned,HA,FL200,FL250,36.8116666667,68.2816666667,245,Carmine 19,Purple 7,49X,5700
15,Nelson,HA,FL250,FL300,36.3766666667,71.0183333333,10,Tan 18,Iron 17,47X,23500
16,Patty,HA,FL230,FL280,34.9066666667,70.5283333333,65,Crimson 12,Brass 9,48X,15800
17,Selma,LA,8000 ft,13000 ft,31.8966666667,63.3316666667,270,N/A,White 1,61X,6100
18,Seymour,LA,10000 ft,FL160,32.6766666667,67.8233333333,225,N/A,Zinc 12,62X,10000
19,Smithers,LA,5000 ft,10000 ft,36.6616666667,68.1883333333,95,N/A,White 10,63X,2000
