tanker,domain,receiver,domain_flight_level,domain_ias_kt,optimal_flight_level,optimal_ias_kt
KC-130,LOW SPEED DOMAIN,HAAR,FL005-FL200,105-120,FL080,115
KC-130,HIGH SPEED DOMAIN,S-3 + V-22,FL050-FL200,185-250,FL150,200
KC-130,HIGH SPEED DOMAIN,Fixed Wings AAR,FL050-FL200,185-250,FL150,240
KC-135,BOOM DOMAIN,A-10A,FL005-FL300,200-320,FL150,220
KC-135,BOOM DOMAIN,B-1B,FL005-FL300,200-320,FL210,320
KC-135,BOOM DOMAIN,B-52H,FL005-FL300,200-320,FL300,275
KC-135,BOOM DOMAIN,C-130,FL005-FL300,200-320,FL080,200
KC-135,BOOM DOMAIN,E-3,FL005-FL300,200-320,FL250,275
KC-135,BOOM DOMAIN,F-111,FL005-FL300,200-320,FL220,305
KC-135,BOOM DOMAIN,F-117,FL005-FL300,200-320,FL250,300
KC-135,BOOM DOMAIN,F-15,FL005-FL300,200-320,FL200,300
KC-135,BOOM DOMAIN,F-16,FL005-FL300,200-320,FL300,315
KC-135,BOOM DOMAIN,F-22,FL005-FL300,200-320,FL250,310
KC-135,BOOM DOMAIN,F-35A,FL005-FL300,200-320,FL200,305
KC-135,BOOM DOMAIN,F-4,FL005-FL300,200-320,FL300,315
KC-135,BOOM DOMAIN,KC-135,FL005-FL300,200-320,FL250,275
KC-135,MPRS DOMAIN,AMX,FL050-FL350,220-300,FL150,250
KC-135,MPRS DOMAIN,E-2,FL050-FL350,220-300,FL150,220
KC-135,MPRS DOMAIN,EA-6B,FL050-FL350,220-300,FL250,275
KC-135,MPRS DOMAIN,EF-2000,FL050-FL350,220-300,FL200,255
KC-135,MPRS DOMAIN,F-14,FL050-FL350,220-300,FL250,270
KC-135,MPRS DOMAIN,F-18,FL050-FL350,220-300,FL250,270
KC-135,MPRS DOMAIN,F-35B/C,FL050-FL350,220-300,FL200,255
KC-135,MPRS DOMAIN,Gripen,FL050-FL350,220-300,FL230,280
KC-135,MPRS DOMAIN,Harrier,FL050-FL350,220-300,FL180,275
KC-135,MPRS DOMAIN,Hawk,FL050-FL350,220-300,FL150,240
KC-135,MPRS DOMAIN,Jaguar,FL050-FL350,220-300,FL200,270
KC-135,MPRS DOMAIN,Mirage 2000,FL050-FL350,220-300,FL250,290
KC-135,MPRS DOMAIN,Mirage F1,FL050-FL350,220-300,FL250,290
KC-135,MPRS DOMAIN,Rafale,FL050-FL350,220-300,FL250,290
KC-135,MPRS DOMAIN,S-3,FL050-FL350,220-300,FL200,235
KC-135,MPRS DOMAIN,Su-30,FL050-FL350,220-300,FL220,275
KC-135,MPRS DOMAIN,Tornado,FL050-FL350,220-300,FL150,270
