number,area,class,lower_altitude,upper_altitude,source_control_lat_dd,source_control_lon_dd,source_route_true_deg,control_lat_dd,control_lon_dd,route_true_deg,leg_nm,track_width_nm,shift_nm,shift_bearing_true_deg,primary_boom,secondary_mprs,tacan,safety_altitude_ft,geometry_status,validated_in_dcs
1,Barney,HA,FL200,FL250,30.0183333333,65.3316666667,210,29.34293006,65.05121194,209.132,35.0,10.0,43,200,Gray 2,Purple 4,41X,5300,OMW_2011_AIP_CORRECTED,false
2,Bart,HA,FL200,FL250,30.3550000000,63.8166666667,245,30.09752900,63.67862927,264.872,35.0,10.0,17,205,Maroon 10,Cherry 9,46X,5100,OMW_2011_AIP_CORRECTED,false
3,Carl,HA,FL200,FL250,31.2083333333,63.0483333333,215,30.89575948,63.11224329,204.416,35.0,10.0,19,170,Carmine 14,Coral 5,45X,4300,OMW_2011_AIP_CORRECTED,false
4,Clancy,HA,FL200,FL250,31.8016666667,66.7716666667,225,31.75441342,66.82695501,225.276,35.0,10.0,4,135,Turquoise 5,Peach 13,60X,10800,OMW_2011_AIP_CORRECTED,false
5,Homer,HA,FL180,FL280,32.9383333333,68.2233333333,320,32.93833333,68.22333333,317.573,35.0,10.0,0,0,Green 7,Lemon 17,54X;55X,10900,OMW_2011_AIP_CORRECTED,false
6,Krusty,HA,FL180,FL280,33.2266666667,68.6350000000,210,32.65123012,68.15946309,212.350,35.0,10.0,42,215,Aqua 4,Tan 7,42X;43X,11600,OMW_2011_AIP_CORRECTED,false
7,Lenny,HA,FL180,FL280,32.6133333333,65.1366666667,245,32.53764885,65.17832671,243.776,35.0,10.0,5,155,White 16,Khaki 14,56X;57X,9500,OMW_2011_AIP_CORRECTED,false
8,Lisa,HA,FL180,FL280,33.7483333333,61.8816666667,5,33.66624916,61.81294477,4.269,35.0,10.0,6,215,Teal 5,Zinc 8,50X;51X,6500,OMW_2011_AIP_CORRECTED,false
9,Maggie,HA,FL200,FL250,34.0450000000,63.4400000000,265,33.99567161,63.45044263,263.247,35.0,10.0,3,170,Brass 2,Crimson 16,40X,12300,OMW_2011_AIP_CORRECTED,false
10,Marge,HA,FL150,FL200,34.9316666667,62.0566666667,40,35.30046557,62.37200425,38.639,35.0,10.0,27,35,Iron 6,Salmon 13,44X,6500,OMW_2011_AIP_CORRECTED,false
11,Milhouse,HA,FL180,FL280,33.3816666667,65.4983333333,65,33.44219603,65.46466360,63.607,35.0,10.0,4,335,Brass 15,Green 9,58X;59X,11600,OMW_2011_AIP_CORRECTED,false
12,Moe,HA,FL230,FL280,35.3716666667,65.6850000000,245,35.07603944,65.32603438,304.682,35.0,10.0,25,225,Lemon 10,Peach 4,52X,14700,OMW_2011_AIP_CORRECTED,false
13,Montgomery,HA,FL200,FL250,37.1333333333,65.5100000000,330,37.08322069,65.40176942,329.863,35.0,10.0,6,240,Cherry 2,Coral 15,53X,3300,OMW_2011_AIP_CORRECTED,false
14,Ned,HA,FL200,FL250,36.8116666667,68.2816666667,245,36.88670450,68.17026210,243.927,35.0,10.0,7,310,Carmine 19,Purple 7,49X,5700,OMW_2011_AIP_CORRECTED,false
15,Nelson,HA,FL250,FL300,36.3766666667,71.0183333333,10,36.37666667,71.01833333,10.428,35.0,10.0,0,0,Tan 18,Iron 17,47X,23500,OMW_2011_AIP_CORRECTED,false
16,Patty,HA,FL230,FL280,34.9066666667,70.5283333333,65,34.97134133,71.47789605,89.662,35.0,10.0,47,85,Crimson 12,Brass 9,48X,15800,OMW_2011_AIP_CORRECTED,false
17,Selma,LA,8000 ft,13000 ft,31.8966666667,63.3316666667,270,32.02331700,63.01185100,270.000,35,,18,295,N/A,White 1,61X,6100,OMW_2011_AIP_CORRECTED,false
18,Seymour,LA,10000 ft,FL160,32.6766666667,67.8233333333,225,32.43336700,67.58283000,225.000,35,,19,220,N/A,Zinc 12,62X,10000,OMW_2011_AIP_CORRECTED,false
19,Smithers,LA,5000 ft,10000 ft,36.6616666667,68.1883333333,95,36.51657200,68.14017100,95.000,35,,9,195,N/A,White 10,63X,2000,OMW_2011_AIP_CORRECTED,false
