name,lat_dd,lon_dd
ALAMI,35.10166667,70.42000000
ALENA,34.57210000,61.81290000
ALEXY,33.19166667,62.83333333
ALKIB,35.99444444,69.90444444
ALMOL,35.66305556,69.75833333
AMDAR,37.20833333,67.34333333
ASLUM,31.01666667,66.61666667
BAGNI,32.62500000,64.44166667
BOTAN,36.26944444,67.51111111
BOXUD,33.52550833,69.76996389
CHARN,35.16856667,61.13536667
COKIB,36.79666667,69.38333333
DANOD,32.40611111,62.00888889
DAPVI,33.32685000,62.75213333
DARUS,32.29555556,66.12694444
DAVER,29.57166667,64.67666667
DAXUP,34.98333333,63.10833333
DILAM,32.17500000,63.40000000
DOLAN,31.84166667,64.65000000
DOSHI,35.60000000,68.44166667
EGPAN,38.41666667,70.73333333
ELEKO,30.33473333,66.14583333
EMERO,30.23996667,65.10513889
FARAH,32.36666667,62.15833333
FIRUZ,36.66666667,71.63333333
GADER,29.68325000,61.46761667
GERAN,34.23888889,69.80333333
GEROR,34.21000000,62.22166667
GODSI,32.50251667,67.81519444
GOSKI,33.76096667,62.49138333
IMGES,34.98381667,70.15245556
IVAGA,36.66666667,68.91666667
JIMPO,35.30000000,63.65000000
KALOT,34.57476667,62.63990000
KAMAR,32.65000000,60.73333333
KAVOG,37.09166667,70.50000000
KEDAR,34.16779722,68.88760833
KHOLM,36.71666667,67.68333333
KIRAT,30.66500000,64.91027778
KODAD,34.11638889,69.40166667
KOTAL,34.09971667,71.14945000
KUNAN,32.05944444,66.60750000
LABUS,33.38666667,62.26388889
LAJAK,33.93305000,70.49971667
LATUN,33.91371667,61.74531667
LEMOD,36.16666667,64.29166667
LONEX,34.52600833,68.38832500
LOVIT,31.15111111,65.00722222
MAXIN,32.77500000,67.45000000
MESRA,33.27762778,68.79891944
MIKED,32.09366667,63.70350000
MIKON,32.97533333,62.22131667
MIXEL,34.45529167,70.08185278
MURAD,34.51666667,69.15000000
NABID,31.74777778,64.97416667
NABKA,31.48329444,62.85192222
NEVIV,33.98000000,67.78333333
PADDY,36.46611667,71.63278333
PAROD,31.48333333,65.90000000
PATOX,33.54833333,68.42000000
PAVLO,32.86638333,69.43305000
PINAX,37.25000000,69.10000000
QUINA,36.13511667,68.86923333
RAMSO,34.43000000,70.47500000
RANAH,35.58333333,63.20000000
RAPTA,37.45000000,65.63333333
RESOT,35.92500000,64.77000000
RIKAD,33.46166667,66.45833333
RIMPA,31.43333333,67.60000000
ROSIE,31.66666667,68.99971667
RUTAB,33.88256667,62.68028333
SABAR,35.61666389,71.51666944
SARSA,34.27545000,62.82616667
SERGO,35.24138889,67.12166667
SERKA,29.85000000,66.25028333
SIGSI,31.09166667,61.88333333
SITAX,33.08333333,70.05000000
SODAS,30.66055556,66.06722222
SOKAM,33.22111667,60.63166667
TABDA,34.30892222,68.60486111
TAMEX,33.70936667,62.24733333
TOTSI,32.03888889,65.17027778
UKMUS,36.45000000,66.38000000
ULOSA,30.75250000,65.42972222
VACUK,30.71235556,63.85528333
VELDT,34.50000000,64.90000000
VUSAR,34.83950278,68.25777222
VUSIP,31.43222222,66.87222222
VUVEN,34.54166667,66.92500000
XARDO,36.73000000,67.25833333
