group_label,mission_editor_parking_id,moose_terminal_id_candidate
A01,A01,66
A02,A02,2
A03,A03,41
A04,A04,92
A05,A05,149
A06,A06,52
A07,A07,102
A08-Heavy,A08,111
A09-Heavy,A09,21
A10-Heavy,A10,4
B01,B01,56
B02,B02,40
B03,B03,175
B04,B04,22
B05,B05,179
B06,B06,9
B07,B07,124
B08,B08,123
B09,B09,109
B10,B10,23
B11,B11,136
B12,B12,105
B13,B13,58
B14,B14,140
B15,B15,154
B16,B16,93
B17,B17,115
B18,B18,169
B19,B19,33
C01,C01,25
C02,C02,81
C03,C03,44
C04,C04,142
C05,C05,19
C06,C06,6
C07,C07,91
C08,C08,83
C09,C09,162
C10,C10,112
C11,C11,184
C12,C12,63
C13,C13,94
D01,D01,129
D02,D02,131
D03,D03,170
D04,D04,75
D05,D05,134
D06,D06,186
D07,D07,29
D08,D08,48
D09,D09,10
D09-1,D09,101
D10,D10,34
D11,D11,107
D12,D12,165
D13,D13,62
D14,D14,32
D15,D15,14
D16,D16,20
D17,D17,168
E01,E01,189
E02,E02,157
E03,E03,138
E04,E04,39
E05,E05,84
E06,E06,13
F01,F01,178
F02,F02,160
F03,F03,3
F04,F04,116
F05,F05,49
F06,F06,55
F07,F07,130
F08,F08,78
F09,F09,110
F10,F10,177
G01,G01,99
G02,G02,43
G03,G03,166
G04,G04,28
G05,G05,155
HAZ01,HAZ01,188
HAZ02,HAZ02,31
M01,M01,121
M02,M02,120
M03,M03,1
M04,M04,35
M05,M05,190
M06,M06,108
M07,M07,27
M08,M08,60
M09,M09,103
M10,M10,80
M11,M11,16
M12,M12,71
M13,M13,183
M14,M14,133
M15,M15,119
M16,M16,12
M17,M17,117
M18,M18,82
M19,M19,64
M20,M20,126
M21,M21,137
M22,M22,148
M23,M23,159
M24,M24,151
M25,M25,128
M26,M26,42
M27,M27,24
M28,M28,158
M29,M29,114
M30,M30,145
N01,N01,79
N02,N02,51
N03,N03,57
N04,N04,187
N05,N05,15
N06,N06,68
N07,N07,181
N08,N08,7
N09,N09,50
N10,N10,180
N11,N11,152
P01,P01,76
P02,P02,132
P03,P03,38
P04,P04,174
P05,P05,30
P06,P06,173
P07,P07,176
P08,P08,150
P09,P09,146
P10,P10,17
P11,P11,89
P12,P12,70
P13,P13,143
P14,P14,5
P15,P15,47
P16,P16,139
R01,R01,95
R02,R02,46
R03,R03,167
R04,R04,127
R05,R05,65
R06,R06,45
R07,R07,54
R08,R08,144
R09,R09,104
R10,R10,182
R11,R11,11
R12,R12,106
R13,R13,172
R14,R14,67
R15,R15,90
R16,R16,0
R17,R17,163
R18,R18,96
R19,R19,164
R20,R20,61
R21,R21,88
R22,R22,85
R23,R23,135
R24,R24,122
R25,R25,59
R26,R26,118
R27,R27,26
R28,R28,74
R29,R29,87
R30,R30,72
R31,R31,147
R32,R32,18
R33,R33,77
R34,R34,36
R35,R35,153
R36,R36,8
R37,R37,161
S01-Heavy,S01,185
S02-Heavy,S02,125
S03-Heavy,S03,37
S04-Heavy,S04,97
S05-Heavy,S05,141
T01,T01,171
T02,T02,53
T03,T03,73
T04,T04,113
T05,T05,100
