Stellplatzkennung,MOOSE TerminalID,Asset,Status
A01,66,,BLOCKED
A02,2,,BLOCKED
A03,41,,BLOCKED
A04,92,,Static
A05,149,,Static
A06,52,,Static
A07,102,,BLOCKED
A08,111,C-130J-30,Client
A09,21,C-130J-30,Client
A10,4,C-130J-30,Static
B01,56,,BLOCKED
B02,40,,BLOCKED
B03,175,,BLOCKED
B04,22,,BLOCKED
B05,179,,BLOCKED
B06,9,,BLOCKED
B07,124,,BLOCKED
B08,123,,BLOCKED
B09,109,,BLOCKED
B10,23,,BLOCKED
B11,136,,BLOCKED
B12,105,,BLOCKED
B13,58,,BLOCKED
B14,140,,BLOCKED
B15,154,,BLOCKED
B16,93,,BLOCKED
B17,115,,BLOCKED
B18,169,,BLOCKED
B19,33,,BLOCKED
C01,25,C-130,Static
C02,81,C-130,Static
C03,44,C-130,Static
C04,142,C-130,Static
C05,19,C-130,BLOCKED
C06,6,C-130,BLOCKED
C07,91,C-130,BLOCKED
C08,83,,BLOCKED
C09,162,C-130,BLOCKED
C10,112,C-130,BLOCKED
C11,184,C-130,BLOCKED
C12,63,C-130,BLOCKED
C13,94,C-130,BLOCKED
D01,129,,BLOCKED
D02,131,,BLOCKED
D03,170,,BLOCKED
D04,75,,BLOCKED
D05,134,,BLOCKED
D06,186,,BLOCKED
D07,29,,BLOCKED
D08,48,,BLOCKED
D09,10,,BLOCKED
D09-1,101,,BLOCKED
D10,34,,BLOCKED
D11,107,,BLOCKED
D12,165,,BLOCKED
D13,62,,BLOCKED
D14,32,,BLOCKED
D15,14,,BLOCKED
D16,20,,BLOCKED
D17,168,,BLOCKED
E01,189,F-15E,AI
E02,157,F-15E,AI
E03,138,F-15E,AI
E04,39,F-15E,AI
E05,84,F-15E,AI
E06,13,,BLOCKED
F01,178,,BLOCKED
F02,160,,BLOCKED
F03,3,,BLOCKED
F04,116,,BLOCKED
F05,49,,BLOCKED
F06,55,,BLOCKED
F07,130,,BLOCKED
F08,78,,BLOCKED
F09,110,,BLOCKED
F10,177,,BLOCKED
G01,99,,BLOCKED
G02,43,,BLOCKED
G03,166,,BLOCKED
G04,28,,BLOCKED
G05,155,,BLOCKED
HAZ01,188,,BLOCKED
HAZ02,31,,BLOCKED
M01,121,F-15E,Static
M02,120,F-15E,Static
M03,1,F-15E,AI
M04,35,F-15E,Static
M05,190,F-15E,AI
M06,108,F-15E,AI
M07,27,F-15E,Static
M08,60,F-15E,AI
M09,103,F-15E,AI
M10,80,F-15E,AI
M11,16,F-16,Static
M12,71,F-16,Static
M13,183,F-16,AI
M14,133,F-16,AI
M15,119,F-16,AI
M16,12,F-16,AI
M17,117,F-16,AI
M18,82,F-16,Static
M19,64,F-16,Static
M20,126,F-16,Static
M21,137,F-15E,AI
M22,148,F-15E,AI
M23,159,F-15E,Static
M24,151,F-15E,Static
M25,128,F-15E,AI
M26,42,F-15E,AI
M27,24,F-15E,Client
M28,158,F-15E,Client
M29,114,F-16,Client
M30,145,F-16,Client
N01,79,UH-60,AI
N02,51,UH-60,AI
N03,57,UH-60,AI
N04,187,UH-60,AI
N05,15,UH-60,AI
N06,68,UH-60,AI
N07,181,UH-60,AI
N08,7,UH-60,AI
N09,50,MQ-1A,AI
N10,180,MQ-1A,AI
N11,152,MQ-1A,AI
P01,76,UH-60,AI
P02,132,UH-60,AI
P03,38,UH-60,AI
P04,174,UH-60,AI
P05,30,,BLOCKED
P06,173,,BLOCKED
P07,176,UH-60,AI
P08,150,UH-60,AI
P09,146,UH-60,AI
P10,17,UH-60,AI
P11,89,UH-60,AI
P12,70,UH-60,AI
P13,143,UH-60,AI
P14,5,UH-60,AI
P15,47,,BLOCKED
P16,139,,BLOCKED
R01,95,UH-60,AI
R02,46,UH-60,AI
R03,167,UH-60,AI
R04,127,UH-60,AI
R05,65,UH-60,AI
R06,45,UH-60,AI
R07,54,UH-60,AI
R08,144,CH-47F,AI
R09,104,CH-47F,AI
R10,182,CH-47F,AI
R11,11,CH-47F,Static
R12,106,CH-47F,Static
R13,172,CH-47F,AI
R14,67,CH-47F,AI
R15,90,,BLOCKED
R16,0,,BLOCKED
R17,163,CH-47F,AI
R18,96,CH-47F,AI
R19,164,CH-47F,AI
R20,61,CH-47F,AI
R21,88,CH-47F,Client
R22,85,CH-47F,Client
R23,135,,BLOCKED
R24,122,,BLOCKED
R25,59,,BLOCKED
R26,118,UH-60,AI
R27,26,UH-60,Static
R28,74,UH-60,AI
R29,87,UH-60,AI
R30,72,UH-60,Static
R31,147,UH-60,AI
R32,18,UH-60,AI
R33,77,UH-60,AI
R34,36,UH-60,AI
R35,153,UH-60,AI
R36,8,,BLOCKED
R37,161,,BLOCKED
S01,185,Heavy Cargo Acft,Static
S02,125,Heavy Cargo Acft,Static
S03,37,C-130J-30,AI
S04,97,C-130J-30,AI
S05,141,Heavy Cargo Acft,Static
T01,171,,BLOCKED
T02,53,,BLOCKED
T03,73,,BLOCKED
T04,113,,BLOCKED
T05,100,,BLOCKED
