node,me_parking_id,moose_terminal_id
Kandahar,AAF01,185
Kandahar,AAF02,162
Kandahar,AAF03,253
Kandahar,AAF04,65
Kandahar,AAF05,29
Kandahar,AAF06,223
Kandahar,AAF07,175
Kandahar,AAF08,87
Kandahar,AAF09,128
Kandahar,AAF10,93
Kandahar,AAF11,279
Kandahar,AAF12,184
Kandahar,AAF13,272
Kandahar,AAF14,98
Kandahar,AAF15,265
Kandahar,AAF16,165
Kandahar,AAF17,47
Kandahar,AAF18,19
Kandahar,AAF19,284
Kandahar,AAF20,131
Kandahar,AAF21,154
Kandahar,AAF22,250
Kandahar,AAF23,200
Kandahar,AAF24,157
Kandahar,AAF25,213
Kandahar,AAF26,81
Kandahar,DAC01,39
Kandahar,DOS01,195
Kandahar,DOS02,218
Kandahar,DOS03,187
Kandahar,DOS04,0
Kandahar,DOS05,6
Kandahar,DOS06,64
Kandahar,DOS07,112
Kandahar,DOS08,207
Kandahar,DOS09,121
Kandahar,DOS10,227
Kandahar,DOS11,3
Kandahar,G01,189
Kandahar,G02,303
Kandahar,G03,202
Kandahar,G04,224
Kandahar,G05,46
Kandahar,G06,291
Kandahar,G07,129
Kandahar,G08,143
Kandahar,G09,27
Kandahar,G10,54
Kandahar,G11,263
Kandahar,H01,172
Kandahar,H02,126
Kandahar,H03,209
Kandahar,H04,79
Kandahar,H05,181
Kandahar,H06,41
Kandahar,H07,171
Kandahar,H08,160
Kandahar,H09,78
Kandahar,H10,127
Kandahar,H11,186
Kandahar,H12,144
Kandahar,H13,252
Kandahar,H14,114
Kandahar,H15,44
Kandahar,H16,53
Kandahar,H17,211
Kandahar,H18,243
Kandahar,I01,23
Kandahar,I02,146
Kandahar,I03,110
Kandahar,I04,269
Kandahar,I05,182
Kandahar,I06,10
Kandahar,I07,142
Kandahar,I08,147
Kandahar,J01,297
Kandahar,J02,76
Kandahar,J03,203
Kandahar,J04,240
Kandahar,J05,183
Kandahar,J06,296
Kandahar,K01,309
Kandahar,K02,232
Kandahar,K03,107
Kandahar,K04,260
Kandahar,K05,299
Kandahar,K06,194
Kandahar,L01-H,66
Kandahar,L02-H,190
Kandahar,L03-H,111
Kandahar,L04-H,158
Kandahar,L05-H,73
Kandahar,L06-H,14
Kandahar,L07-H,60
Kandahar,L08-H,274
Kandahar,L09-H,145
Kandahar,L10-H,191
Kandahar,L11-H,168
Kandahar,L12-H,125
Kandahar,L13-H,148
Kandahar,L14-H,176
Kandahar,L15-H,21
