ID;Jahreszeit;Profil;UTC;Ortszeit_Afghanistan;Temperatur_C;Taupunkt_C;Relative_Feuchte_pct;Windrichtung;Wind_kt;Boe_kt;Sicht_m;Wettercode;Wolken_1;Basis_1_ft_AGL;Wolken_2;Basis_2_ft_AGL;Wolken_3;Basis_3_ft_AGL;Wolken_4;Basis_4_ft_AGL;QNH_hPa;Haeufigkeitsklasse_und_Begruendung;Original_METAR;Rohdatenzeile
SUM-01;Sommer;Heiß, trocken, nur gering bewölkt;2010-08-23 10:55;2010-08-23 15:25;39.0;17.0;27.6;100;9;;9999;;FEW;6000;;;;;;;996;häufige Schönwetterlage. Normalprofil: heiße Nachmittagslage mit guter Sicht.;KQL5 231055Z 10009KT 9999 FEW060 39/17 A2942 RMK AO2A SLP915 WND DATA ESTMD ALSTG/SLP ESTMD;556
SUM-02;Sommer;Schwül-dunstiger Morgen mit dichter Bewölkung;2010-08-13 01:55;2010-08-13 06:25;28.0;24.0;78.9;VRB;3;;6000;HZ;BKN;3000;OVC;5000;;;;;1004;häufige sommerliche Dunstlage. Repräsentiert hohe Feuchte, Dunst und deutlich mehr Bewölkung.;KQL5 130155Z VRB03KT 6000 HZ BKN030 OVC050 28/24 A2966 RMK AO2A SLP005 WND DATA ESTMD ALSTG/SLP ESTMD;303
SUM-03;Sommer;Leichter Regen mit sehr niedriger Wolkenuntergrenze;2010-08-03 09:55;2010-08-03 14:25;25.0;23.0;88.7;180;3;;8000;-RA;SCT;800;BKN;1000;OVC;4500;;;1004;gelegentliche sommerliche Regenlage. Niedrige BKN-Untergrenze von 1.000 ft AGL; flugbetrieblich relevant.;KQL5 030955Z 18003KT 8000 -RA SCT008 BKN010 OVC045 25/23 A2966 RMK AO2A SLP016 WND DATA ESTMD ALSTG/SLP ESTMD;67
SUM-04;Sommer;Starker Ostwind mit aufgewirbeltem Staub;2010-08-24 06:05;2010-08-24 10:35;33.0;20.0;46.4;090;19;26;3200;BLDU;FEW;22000;;;;;;;1000;seltene markante Staublage. Seltene, aber glaubwürdige adverse Lage mit 3,2 km Sicht.;KQL5 240605Z 09019G26KT 3200 BLDU FEW220 33/20 A2952 RMK AO2A SLP957 WND DATA ESTMD ALSTG/SLP ESTMD;576
AUT-01;Herbst;Heißer, trockener Frühherbsttag;2010-09-08 09:55;2010-09-08 14:25;36.0;15.0;28.6;100;6;16;9999;;FEW;8000;;;;;;;1002;häufige frühe Herbstlage. Warme trockene Übergangslage bei guter Sicht.;KQL5 080955Z 10006G16KT 9999 FEW080 36/15 A2959 RMK AO2A SLP979 WND DATA ESTMD ALSTG/SLP ESTMD;948
AUT-02;Herbst;Rauch und Dunst bei nahezu Windstille;2010-10-30 04:26;2010-10-30 08:56;20.0;8.0;45.9;330;1;;3200;FU HZ;CLR;;;;;;;;1020;sehr typische Herbst-Sichtminderung. Dunst/Rauch ist im Herbst der dominante Sichtminderungs-Typ.;KQL5 300426Z 33001KT 3200 FU HZ SKC 20/08 A3011 RMK AO2A SLP181 WND DATA ESTMD ALSTG/SLP ESTMD;2225
AUT-03;Herbst;Gewitterböe mit Regen, Dunst und sehr starken Böen;2010-09-10 12:41;2010-09-10 17:11;23.0;18.0;73.4;040;17;44;5000;-TSRA BR;FEW;800;SCT;7000;BKN;8500;;;1003;seltene konvektive Gefahrenlage. 44 kt Böe, Winddrehung und CB: Extremprofil, nicht Standardwetter.;KQL5 101241Z 04017G44KT 5000 -TSRA BR FEW008 SCT070CB BKN085 23/18 A2961 RMK AO2A WSHFT 1217 LTG DSNT NE VIS N-E-S 3200 BLDU SLP998 WND DATA ESTMD ALSTG/SLP ESTMD;1003
AUT-04;Herbst;Klarer, kalter Spätherbstmorgen;2010-11-29 01:55;2010-11-29 06:25;4.0;0.0;75.2;VRB;1;;9999;;CLR;;;;;;;;1018;häufige spät-herbstliche Strahlungslage. Kalter klarer Morgen bei nahezu Windstille.;KQL5 290155Z VRB01KT 9999 SKC 04/00 A3007 RMK AO2A SLP196 WND DATA ESTMD ALSTG/SLP ESTMD;2938
WIN-01;Winter;Frostig-klarer Wintermorgen;2010-12-28 01:55;2010-12-28 06:25;0.0;-8.0;54.9;260;3;;9999;;CLR;;;;;;;;1019;häufige klare Winterlage. Klares Frostprofil für frühe Morgenstunden.;KQL5 280155Z 26003KT 9999 SKC 00/M08 A3010 RMK AO2A SLP220 WND DATA ESTMD ALSTG/SLP ESTMD;3655
WIN-02;Winter;Rauchlage mit nur 2 km Sicht;2010-12-09 04:28;2010-12-09 08:58;10.0;-3.0;40.0;050;2;;2000;FU;CLR;;;;;;;;1016;sehr typische winterliche Sichtminderung. Winterlich häufige Rauch-/Dunstlage trotz wolkenlosem Himmel.;KQL5 090428Z 05002KT 2000 FU SKC 10/M03 A3001 RMK AO2A SLP178 WND DATA ESTMD ALSTG/SLP ESTMD;3182
WIN-03;Winter;Regen mit niedriger geschlossener Bewölkung;2011-02-05 21:49;2011-02-06 02:19;10.0;8.0;87.4;VRB;1;;2400;RA;FEW;2600;BKN;3200;OVC;4500;;;1013;gelegentliche winterliche Schlechtwetterlage. Regen, 2,4 km Sicht und geschlossene Bewölkung.;KQL5 052149Z VRB01KT 2400 RA FEW026 BKN032 OVC045 10/08 A2992 RMK AO2A SLP135 WND DATA ESTMD ALSTG/SLP ESTMD;4229
WIN-04;Winter;Schwerer Staubsturm mit 400 m Sicht;2010-12-22 09:47;2010-12-22 14:17;22.0;-15.0;7.2;270;12;25;0400;DS;BKN;0;;;;;;;1006;seltene extreme Staubsturm-Lage. Extremprofil: Staub verdeckt den Himmel; BKN000 ist keine echte Wolkenbasis.;KQL5 220947Z 27012G25KT 0400 DS BKN000 22/M15 A2972 RMK AO2A DS BKN000 SLP065 WND DATA ESTMD ALSTG/SLP ESTMD;3514
SPR-01;Frühling;Kühler Regenschauer mit Dunst und tiefen Wolken;2011-04-10 09:55;2011-04-10 14:25;14.0;13.0;93.7;290;5;;3200;SHRA BR;FEW;500;OVC;2000;;;;;1017;gelegentliche Frühjahrs-Regenlage. Sehr feuchte Schauerlage mit 500 ft FEW und 2.000 ft OVC.;KQL5 100955Z 29005KT 3200 SHRA BR FEW005 OVC020 14/13 A3003 RMK SLP167;4655
SPR-02;Frühling;Gewitterregen mit gesättigter Luft;2011-03-28 04:23;2011-03-28 08:53;13.0;13.0;100.0;310;7;;3200;TSRA BR;OVC;3000;;;;;;;1013;seltene konvektive Lage. Gewitter über Platz, 100 % relative Feuchte und 3,2 km Sicht.;KQL5 280423Z 31007KT 3200 TSRA BR OVC030 13/13 A2991 RMK TS OVHD MOV S OCNL LTG ICCG;4560
SPR-03;Frühling;Trockener schwerer Staubsturm;2011-03-19 09:55;2011-03-19 14:25;26.0;-15.0;5.7;280;20;36;1200;BLDU;BKN;0;;;;;;;998;markante, aber nicht alltägliche Staublage. 20G36 kt aus West, 1,2 km Sicht und extrem trockene Luft.;KQL5 190955Z 28020G36KT 1200 BLDU BKN000 26/M15 A2946 RMK BKN000 DU SLP951;4515
SPR-04;Frühling;Sehr heißer und extrem trockener Spätfrühlingstag;2011-05-14 09:55;2011-05-14 14:25;40.0;-7.0;4.9;VRB;4;;9999;;FEW;6000;;;;;;;1004;repräsentative späte Hitzeperiode. 40 °C bei Taupunkt -7 °C; späte Vorsommerhitze.;KQL5 140955Z VRB04KT 9999 FEW060 40/M07 A2964 RMK AO2A SLP995 WND DATA ESTMD ALSTG/SLP ESTMD;4857
